,City,Lat-Long 1,Lat-Long 2,Box size
215,"('San Francisco', 'United States')","('37.6403143', '-123.173825')","('37.929811', '-122.281479')",84.91847224497295 km
216,"('Puyang', 'China')","('35.3320438', '114.8636406')","('36.2129689', '116.0971878')",148.30369309584302 km
217,"('Suining', 'China')","('33.7213483', '117.5127475')","('34.1717299', '118.1818093')",79.5049660912525 km
218,"('Jiaozuo', 'China')","('35.0475729', '113.0933977')","('35.3675729', '113.4133977')",45.92861700251017 km
219,"('Bengbu', 'China')","('32.7089501', '116.7261956')","('33.5022204', '118.0691983')",153.14747554219326 km
220,"('Montréal', 'Canada')","('45.4100756', '-73.9741567')","('45.7047897', '-73.4742952')",50.952065582079285 km
221,"('Detroit', 'United States')","('42.255192', '-83.287959')","('42.4502432', '-82.9104391')",37.90664138853078 km
222,"('Baicheng', 'China')","('45.4556275', '122.6760811')","('45.7756275', '122.9960811')",43.45000154670524 km
223,"('Busan', 'Korea, South')","('34.7252504', '128.7568072')","('35.3892236', '129.4889527')",99.43260515253066 km
224,"('Algiers', 'Algeria')","('36.6153606', '2.9001882')","('36.9353606', '3.2201882')",45.57577577972914 km
225,"('Qincheng', 'China')","('39.9341469', '113.7162046')","('39.9741469', '113.7562046')",5.604335085241838 km
226,"('Taiyuan', 'China')","('37.4414184', '111.5089168')","('38.4208541', '113.1477868')",180.48729068955384 km
227,"('Lucknow', 'India')","('26.6781', '80.7746001')","('26.9981', '81.0946001')",47.632188706913304 km
228,"('Chaoyang', 'China')","('40.5973321', '118.8398779')","('42.3948944', '121.2962625')",286.2056530365428 km
229,"('Hechi', 'China')","('24.5329998', '107.9250638')","('24.8529998', '108.2450638')",48.011638019021554 km
230,"('Leshan', 'China')","('29.4251296', '103.587791')","('29.7451296', '103.907791')",47.11002766626695 km
231,"('Siping', 'China')","('42.8200745', '123.2980994')","('44.1082399', '125.7844692')",246.89684695797408 km
232,"('Madrid', 'Spain')","('40.3119774', '-3.8889539')","('40.6437293', '-3.5179163')",48.44566402201493 km
233,"('Jinan', 'China')","('35.9920671', '116.2193434')","('37.5381497', '117.9726333')",232.24623748309938 km
234,"('Shiyan', 'China')","('32.4714877', '110.632752')","('32.7914877', '110.952752')",46.48730461121707 km
235,"('Changzhi', 'China')","('36.0229336', '112.9385394')","('36.3429336', '113.2585394')",45.71017373799365 km
236,"('San Diego', 'United States')","('32.5347726', '-117.3098053')","('33.114249', '-116.9057226')",74.57609070920432 km
237,"('Faisalabad', 'Pakistan')","('31.2620558', '72.9323253')","('31.5820558', '73.2523253')",46.739724342035345 km
238,"('Santa Cruz', 'Bolivia')","('-17.7761605', '-63.1889419')","('-17.7561605', '-63.1689419')",3.065604388769664 km
239,"('Bazhou', 'China')","('38.9520884', '116.2322323')","('39.2720884', '116.5522323')",45.034006748154184 km
240,"('Zhongshan', 'China')","('22.206438', '113.1515984')","('22.7761183', '113.6868238')",83.74374882447101 km
241,"('Zhenjiang', 'China')","('31.6269907', '118.9621166')","('32.3220698', '119.9674237')",122.34862605111394 km
242,"('Ürümqi', 'China')","('43.0213584', '86.7939662')","('43.7400187', '88.1273291')",134.34639499728573 km
243,"('Tongliao', 'China')","('42.2402705', '119.2352068')","('45.681457', '123.7151825')",524.6886806545152 km
244,"('Heyuan', 'China')","('23.586777', '114.5354482')","('23.906777', '114.8554482')",48.170691907360094 km
245,"('Tongren', 'China')","('27.5747312', '109.0252081')","('27.8947312', '109.3452081')",47.466094140182754 km
246,"('Qinzhou', 'China')","('21.5335708', '108.1792997')","('22.6843938', '109.8667729')",215.76505795470646 km
247,"('Jaipur', 'India')","('26.7554576', '75.6589817')","('27.0754576', '75.9789817')",47.61802911801154 km
248,"('Xinzhou', 'China')","('38.2539173', '112.570463')","('38.5739173', '112.890463')",45.197728689433646 km
