,City,Lat-Long 1,Lat-Long 2,Box size
249,"('Addis Ababa', 'Ethiopia')","('8.8507934', '38.6012525')","('9.1707934', '38.9212525')",49.90635717525073 km
250,"('Giza', 'Egypt')","('29.8270753', '31.0518063')","('30.1470753', '31.3718063')",47.030394996761935 km
251,"('Meishan', 'China')","('29.919061', '103.6858201')","('30.239061', '104.0058201')",47.01205926065161 km
252,"('Brasília', 'Brazil')","('-15.9534036', '-48.0423172')","('-15.6334036', '-47.7223172')",49.28894105694013 km
253,"('Mashhad', 'Iran')","('36.1845764', '59.4201994')","('36.4989467', '59.7237396')",44.26568005163701 km
254,"('Jinzhou', 'China')","('40.948528', '120.9594219')","('41.268528', '121.2794219')",44.55805422636353 km
255,"('Tieling', 'China')","('42.1295233', '123.6794899')","('42.4495233', '123.9994899')",44.27167074709153 km
256,"('Shaoguan', 'China')","('24.6536095', '113.4322116')","('24.9736095', '113.7522116')",47.99099178101783 km
257,"('Shanwei', 'China')","('22.6291796', '115.2104551')","('22.9491796', '115.5304551')",48.32629347009919 km
258,"('Minneapolis', 'United States')","('44.89015', '-93.329163')","('45.05125', '-93.1938584')",20.843585394457044 km
259,"('Kyiv', 'Ukraine')","('50.2132422', '30.2361453')","('50.590833', '30.8263593')",59.37108499907175 km
260,"('Sanaa', 'Yemen')","('15.2095738', '44.1265179')","('15.4477858', '44.3000507')",32.28047171398519 km
261,"('Quezon City', 'Philippines')","('14.589369', '120.9896844')","('14.7764137', '121.1338324')",25.87202039838327 km
262,"('Dingxi', 'China')","('35.4210207', '104.4629826')","('35.7410207', '104.7829826')",45.84540435892192 km
263,"('Salvador', 'Brazil')","('-13.0173949', '-38.6994346')","('-12.7335366', '-38.3034141')",53.232798554393476 km
264,"('Incheon', 'Korea, South')","('36.8544193', '124.3727348')","('38.05', '126.7936261')",251.96021854821404 km
265,"('Bursa', 'Turkey')","('40.0227657', '28.9077305')","('40.3427657', '29.2277305')",44.780120027643335 km
266,"('Ningde', 'China')","('26.5095006', '119.3832715')","('26.8295006', '119.7032715')",47.66293662155389 km
267,"('Tampa', 'United States')","('27.8212598', '-82.5864954')","('28.1713602', '-82.2538678')",50.75237319334115 km
268,"('Daqing', 'China')","('46.4369028', '124.9414811')","('46.7569028', '125.2614811')",43.20437683675312 km
269,"('Birmingham', 'United Kingdom')","('52.381053', '-2.0336486')","('52.6087058', '-1.7288578')",32.71472734670264 km
270,"('Putian', 'China')","('25.2957366', '118.8429034')","('25.6157366', '119.1629034')",47.87967309663878 km
271,"('Huzhou', 'China')","('30.3756191', '119.2324036')","('31.1825784', '120.4840793')",149.52868575144524 km
272,"('Wuzhou', 'China')","('23.318767', '111.117099')","('23.638767', '111.437099')",48.21479024962298 km
273,"('Denver', 'United States')","('39.6143154', '-105.1098845')","('39.9142087', '-104.5996889')",54.95326819756602 km
274,"('Rome', 'Italy')","('41.6556417', '12.2344669')","('42.1410285', '12.8557603')",74.59603144757106 km
275,"('La Paz', 'Bolivia')","('-16.5923149', '-68.2458469')","('-15.7586421', '-67.6237089')",113.74222300303603 km
276,"('Kano', 'Nigeria')","('11.8318671', '8.3703654')","('12.1518671', '8.6903654')",49.67502925361976 km
277,"('Taichung', 'Taiwan')","('23.99856', '120.46077')","('24.44151', '121.45096')",111.90880321710785 km
278,"('Omdurman', 'Sudan')","('15.4845536', '32.3177311')","('15.8045536', '32.6377311')",49.30593459463729 km
279,"('Zigong', 'China')","('29.1819256', '104.6161224')","('29.5019256', '104.9361224')",47.157821555378 km
280,"('Qinhuangdao', 'China')","('39.4189426', '118.5630869')","('40.6155045', '119.865095')",173.22174672815757 km
281,"('Mudanjiang', 'China')","('44.3898406', '129.4659558')","('44.7098406', '129.7859558')",43.71534871164133 km
282,"('Huludao', 'China')","('39.9892625', '119.2157669')","('41.2180415', '121.0356478')",205.76758721957398 km
283,"('Kaohsiung', 'Taiwan')","('10.3447222', '114.3072222')","('23.4716871', '121.0490355')",1619.7427973458991 km
284,"('Xiangtan', 'China')","('27.6726265', '112.778722')","('27.9926265', '113.098722')",47.447700421553485 km
285,"('Guayaquil', 'Ecuador')","('-2.2875728', '-79.9591199')","('-2.0529111', '-79.8563511')",28.354638450031356 km
286,"('Rizhao', 'China')","('34.9824716', '118.5966379')","('36.0382864', '119.9428936')",169.22365289252477 km
287,"('Manchester', 'United Kingdom')","('53.3401044', '-2.3199185')","('53.5445923', '-2.1468288')",25.499635216053985 km
288,"('Baotou', 'China')","('40.2459995', '109.2624433')","('42.7359924', '111.4363328')",330.778990780294 km
289,"('Taipei', 'Taiwan')","('24.9605158', '121.4571436')","('25.2102357', '121.6659735')",34.771017511100375 km
290,"('Nanping', 'China')","('26.2465985', '116.9982813')","('28.3205229', '119.2707298')",321.5860616949521 km
291,"('Longyan', 'China')","('24.3736139', '115.8473109')","('26.0362618', '117.7453418')",265.5349114277826 km
292,"('Ibadan', 'Nigeria')","('7.2177462', '3.7372497')","('7.5377462', '4.0572497')",50.00579984985569 km
293,"('Hohhot', 'China')","('39.5862333', '110.5110773')","('41.3811109', '112.3051529')",250.71345755562683 km
294,"('Chaozhou', 'China')","('23.4275751', '116.36375')","('24.2357618', '117.2086712')",124.18723959545066 km
295,"('Antananarivo', 'Madagascar')","('-19.0700122', '47.3655809')","('-18.7500122', '47.6855809')",48.899054993506184 km
296,"('Longba', 'China')","('33.5331179', '105.4008668')","('33.5731179', '105.4408668')",5.786333913812837 km
297,"('Weihai', 'China')","('36.5123967', '121.1746264')","('37.5962802', '122.774962')",186.35926175291434 km
298,"('Chattogram', 'Bangladesh')","('22.1764709', '91.6660479')","('22.4964709', '91.9860479')",48.39794213496694 km
299,"('Santo Domingo', 'Dominican Republic')","('18.4227388', '-69.9992758')","('18.5475893', '-69.8745128')",19.094193764243474 km
300,"('Xuanzhou', 'China')","('30.5615517', '118.466014')","('31.324679', '119.0643083')",102.11274412001436 km
301,"('Sanming', 'China')","('26.1071531', '117.474008')","('26.4271531', '117.794008')",47.73568593514642 km
302,"('Brooklyn', 'United States')","('40.5700235', '-74.0419691')","('40.7394026', '-73.8556336')",24.53821088824994 km
303,"('Medellín', 'Colombia')","('6.1670811', '-75.7193741')","('6.3764208', '-75.4734083')",35.73174773753154 km
304,"('Brisbane', 'Australia')","('-27.660219', '152.679693')","('-27.022014', '153.468275')",105.30989891036626 km
305,"('Baoshan', 'China')","('31.2670829', '121.295578')","('31.5470761', '121.5566199')",39.74925345182752 km
306,"('Dubai', 'United Arab Emirates')","('25.1053471', '55.1324914')","('25.4253471', '55.4524914')",47.91292316218651 km
307,"('Luohe', 'China')","('33.4120554', '113.8685163')","('33.7320554', '114.1885163')",46.28652763811959 km
308,"('Mirzāpur', 'India')","('24.9861346', '82.4089952')","('25.3061346', '82.7289952')",47.933638181473526 km
309,"('Guangyuan', 'China')","('32.2729637', '105.6963402')","('32.5929637', '106.0163402')",46.5291896200144 km
310,"('Cali', 'Colombia')","('3.2734085', '-76.7069442')","('3.548577', '-76.4588983')",41.056062375550255 km
311,"('Daegu', 'Korea, South')","('35.6067585', '128.3511837')","('36.0164926', '128.7623985')",58.719745836718644 km
312,"('Fortaleza', 'Brazil')","('-3.8945441', '-38.6379078')","('-3.6921047', '-38.4013259')",34.520890617674425 km
313,"('Guatemala City', 'Guatemala')","('14.5364078', '-90.5871089')","('14.7089957', '-90.3854097')",28.92866789496515 km
314,"('Yaoundé', 'Cameroon')","('3.7134939', '11.4094613')","('3.9691958', '11.5747193')",33.710734626498734 km
315,"('Douala', 'Cameroon')","('3.8829408', '9.546203')","('4.2029408', '9.866203')",50.14789011217109 km
316,"('Jilin', 'China')","('43.6817717', '126.4005066')","('44.0017717', '126.7205066')",43.89065031433426 km
317,"('Lianshan', 'China')","('24.1876586', '111.9223003')","('24.852092', '112.2650661')",81.38166708073646 km
318,"('Lincang', 'China')","('23.079957', '98.672154')","('25.0357178', '100.5464105')",288.53890685857175 km
319,"('Antalya', 'Turkey')","('36.7409641', '30.5354846')","('37.0609641', '30.8554846')",45.54712023444007 km
320,"('Tashkent', 'Uzbekistan')","('41.1523363', '69.1187079')","('41.4723363', '69.4387079')",44.508870253867485 km
321,"('Huangshi', 'China')","('29.5085513', '114.5262242')","('30.3282643', '115.5051727')",131.12068921616708 km
322,"('Bandung', 'Indonesia')","('-7.0944694', '107.4449539')","('-6.7744694', '107.7649539')",50.02942200452315 km
323,"('Nāgpur', 'India')","('21.0529736', '78.9952182')","('21.2310022', '79.1788461')",27.428745746313854 km
324,"('Dandong', 'China')","('39.968668', '124.2263404')","('40.288668', '124.5463404')",44.793025919632086 km
325,"('Huainan', 'China')","('31.9040774', '116.3595131')","('33.0065905', '117.2078562')",145.97963710393475 km
326,"('Shangzhou', 'China')","('28.2294995', '121.3777579')","('28.2694995', '121.4177579')",5.921108171376191 km
327,"('Bekasi', 'Indonesia')","('-6.3949858', '106.8345444')","('-6.0749858', '107.1545444')",50.06375460900493 km
328,"('Ghāziābād', 'India')","('28.6079024', '77.1992428')","('28.8348273', '77.6151037')",47.78355759717991 km
329,"('Tijuana', 'Mexico')","('32.3410188', '-117.1246629')","('32.6610188', '-116.8046629')",46.5148508669921 km
330,"('Jiamusi', 'China')","('46.6487794', '130.2134556')","('46.9687794', '130.5334556')",43.1512027327406 km
331,"('Yangjiang', 'China')","('21.7003337', '111.8176773')","('22.0203337', '112.1376773')",48.47195552519971 km
332,"('Accra', 'Ghana')","('5.5150962', '-0.2843138')","('5.6539649', '-0.1248164')",23.411761008595082 km
333,"('Yuxi', 'China')","('28.4839377', '102.3460902')","('28.8039377', '102.6660902')",47.29333339364149 km
334,"('Fushun', 'China')","('41.7092972', '123.764157')","('42.0292972', '124.084157')",44.3739475142976 km
335,"('Anshun', 'China')","('25.3570024', '105.2476808')","('26.62836', '106.5646936')",192.94012382772365 km
336,"('Vancouver', 'Canada')","('49.1984452', '-123.2249611')","('49.3161714', '-123.0232419')",19.673388732556287 km
337,"('Tangerang', 'Indonesia')","('-6.2569762', '106.551454')","('-6.0972705', '106.7486519')",28.07616473665806 km
338,"('Konya', 'Turkey')","('37.716824', '32.3265749')","('38.036824', '32.6465749')",45.322632218090874 km
339,"('Queens', 'United States')","('40.5419011', '-73.9626879')","('40.8009249', '-73.7001809')",36.33177582980276 km
340,"('Yingkou', 'China')","('39.9189943', '121.9440982')","('40.9384475', '123.0012997')",144.43782971190018 km
341,"('Adana', 'Turkey')","('36.8336175', '35.1658349')","('37.1536175', '35.4858349')",45.52594649636361 km
342,"('Medan', 'Indonesia')","('3.4881173', '98.5924674')","('3.8019525', '98.7465201')",38.69421965640033 km
343,"('Sanmenxia', 'China')","('34.6078842', '111.0308398')","('34.9278842', '111.3508398')",46.02589512613317 km
344,"('Indore', 'India')","('22.5603616', '75.7081996')","('22.8803616', '76.0281996')",48.33726480686498 km
345,"('Ma’anshan', 'China')","('31.2920656', '117.8945089')","('32.0608806', '118.8821769')",126.64048490787623 km
346,"('Pingliang', 'China')","('35.3832', '106.5008107')","('35.7032', '106.8208107')",45.853855977112616 km
347,"('Quzhou', 'China')","('28.2414132', '118.022407')","('29.5004089', '119.3417699')",189.83598408061525 km
348,"('Baku', 'Azerbaijan')","('40.3004107', '49.7599815')","('40.4413231', '50.0013381')",25.78795554534225 km
349,"('Gaoping', 'China')","('35.6500201', '112.7120208')","('35.9872819', '113.1563038')",54.8846327400327 km
350,"('Huaibei', 'China')","('33.2790644', '116.3888318')","('34.2498172', '117.0467592')",123.72697081215685 km
351,"('Xining', 'China')","('36.457331', '101.6161976')","('36.777331', '101.9361976')",45.611749743114615 km
352,"('Yan’an', 'China')","('35.3514468', '107.6544038')","('37.5010374', '110.5464281')",352.32417443713894 km
353,"('Havana', 'Cuba')","('22.9337108', '-82.5606341')","('23.384727', '-82.0814213')",70.02075991390976 km
354,"('Phnom Penh', 'Cambodia')","('11.408271', '104.7624426')","('11.728271', '105.0824426')",49.71177932880943 km
355,"('Fukuoka', 'Japan')","('33.424959', '129.871637')","('34.0626937', '130.4949043')",91.31746714246745 km
356,"('Mogadishu', 'Somalia')","('1.8749312', '45.1819183')","('2.1949312', '45.5019183')",50.193565616711076 km
357,"('Jincheng', 'China')","('35.189035', '111.9353103')","('36.0664176', '113.619226')",180.9496335070613 km
358,"('Lishui', 'China')","('31.3842283', '118.8281523')","('31.7922683', '119.2320013')",59.29731550372728 km
359,"('Qingyang', 'China')","('35.5506146', '107.4784287')","('35.8706146', '107.7984287')",45.816403448166646 km
360,"('Riverside', 'United States')","('33.8725232', '-117.5237612')","('34.0194237', '-117.2741722')",28.246444310443685 km
361,"('Baltimore', 'United States')","('39.1972328', '-76.7112977')","('39.37204', '-76.5296757')",24.943751826930658 km
362,"('Haiphong', 'Vietnam')","('19.9265816', '106.4005479')","('21.0203034', '107.9511219')",202.0665064336821 km
363,"('Las Vegas', 'United States')","('36.129554', '-115.4244075')","('36.380491', '-115.062066')",42.846029067682565 km
364,"('Laibin', 'China')","('23.269338', '108.4118572')","('24.470489', '110.4560316')",247.0732623403983 km
365,"('Rawalpindi', 'Pakistan')","('33.4314237', '72.8935122')","('33.7514237', '73.2135122')",46.28235341894513 km
366,"('Kumasi', 'Ghana')","('6.538081', '-1.7830404')","('6.858081', '-1.4630404')",50.041428094536535 km
367,"('Portland', 'United States')","('45.432536', '-122.8367489')","('45.6528812', '-122.4720252')",37.56472258657111 km
368,"('Vadodara', 'India')","('22.1373142', '73.0342567')","('22.4573142', '73.3542567')",48.404081018162316 km
369,"('Perth', 'Australia')","('-32.1127121', '115.7004796')","('-31.7927121', '116.0204796')",46.629786755023105 km
370,"('Puning', 'China')","('23.0987455', '115.720694')","('23.5306478', '116.3504863')",80.23399354417103 km
371,"('San Antonio', 'United States')","('29.1862572', '-98.8131865')","('29.7309623', '-98.2230029')",83.2046697471535 km
372,"('Haikou', 'China')","('19.5259404', '110.1030823')","('20.1162113', '110.7080691')",91.03299158100434 km
373,"('Gaziantep', 'Turkey')","('36.9011756', '37.2193085')","('37.2211756', '37.5393085')",45.510488796280725 km
374,"('Minsk', 'Belarus')","('53.793847', '27.3740176')","('53.9717897', '28.0799469')",50.46989428728041 km
375,"('St. Louis', 'United States')","('38.5323215', '-90.3206525')","('38.7743396', '-90.1641941')",30.12101141840098 km
376,"('Bamako', 'Mali')","('12.5113254', '-8.07382')","('12.7136871', '-7.9005664')",29.249130145035902 km
377,"('Quito', 'Ecuador')","('-0.3801641', '-78.6723274')","('-0.0601641', '-78.3523274')",50.20889740087174 km
378,"('Pingxiang', 'China')","('21.9603105', '106.669575')","('22.2746703', '106.9996091')",48.6953558553441 km
379,"('Chongzuo', 'China')","('22.22', '107.200909')","('22.54', '107.520909')",48.39110682891273 km
380,"('Şanlıurfa', 'Turkey')","('37.0001999', '38.6316052')","('37.3201999', '38.9516052')",45.487802798977725 km
381,"('Kananga', 'Congo (Kinshasa)')","('-6.0551725', '22.248589')","('-5.7351725', '22.568589')",50.07913017252672 km
382,"('Peshawar', 'Pakistan')","('33.8523846', '71.4187458')","('34.1723846', '71.7387458')",46.19124057565743 km
383,"('Sapporo', 'Japan')","('42.780706', '140.990503')","('43.189994', '141.505422')",61.896082985270404 km
384,"('Jixi', 'China')","('45.1328513', '130.8019259')","('45.4528513', '131.1219259')",43.53053463954657 km
385,"('Caracas', 'Venezuela')","('10.3404973', '-67.16228')","('10.567559', '-66.690883')",57.39692686919099 km
386,"('Fuxin', 'China')","('41.8551733', '121.4852868')","('42.1751733', '121.8052868')",44.33848880473625 km
387,"('Leeds', 'United Kingdom')","('53.6989675', '-1.8004214')","('53.9458715', '-1.2903516')",43.3992592897205 km
388,"('Sacramento', 'United States')","('38.437574', '-121.56012')","('38.685506', '-121.36274')",32.456526968571225 km
389,"('Blantyre', 'Malawi')","('-15.9462543', '34.8435694')","('-15.6262543', '35.1635694')",49.28976070236192 km
390,"('Tainan', 'Taiwan')","('22.8875061', '120.0347671')","('23.41371', '120.6562638')",86.29489187871536 km
391,"('Bucharest', 'Romania')","('44.3342466', '25.9637045')","('44.5413964', '26.2255768')",31.056799618346002 km
392,"('Wuwei', 'China')","('36.7511247', '101.8267819')","('39.4608487', '104.2036053')",365.9187849119914 km
393,"('Bhopāl', 'India')","('23.0984857', '77.241989')","('23.4184857', '77.561989')",48.250716965684745 km
394,"('Curitiba', 'Brazil')","('-25.6450101', '-49.38914')","('-25.3467009', '-49.1843182')",38.93791567884091 km
395,"('Xiping', 'China')","('33.2233188', '113.8609155')","('33.5433188', '114.1809155')",46.32712071212357 km
396,"('Asunción', 'Paraguay')","('-25.3811854', '-57.6736249')","('-25.2188299', '-57.5249286')",23.40298017348039 km
397,"('Saidu Sharif', 'Pakistan')","('34.7047334', '72.3162789')","('34.7847334', '72.3962789')",11.507764667573706 km
398,"('Vienna', 'Austria')","('48.1179069', '16.181831')","('48.3226679', '16.5775132')",37.186927585667284 km
